id,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,price,number_of_reviews,review_scores_rating,reviews_per_month,zona,is_superhost
955828468203141924,f,Ipanema,-22.9853317,-43.2103882,Entire home/apt,5,2143.0,2,5.0,0.2,Zona Sul,False
955830924012538924,t,Ipanema,-22.9848106,-43.19896019999999,Entire home/apt,4,696.0,28,4.82,1.77,Zona Sul,True
955831849142965809,t,Barra da Tijuca,-23.003680334312957,-43.34183364538419,Entire home/apt,2,599.0,55,4.84,3.38,Zona Oeste,True
955905180248418457,t,Copacabana,-22.98414403090762,-43.19242130309155,Entire home/apt,2,486.0,25,4.84,1.56,Zona Sul,True
955908343248090379,t,Copacabana,-22.96346,-43.17803,Entire home/apt,4,1041.0,52,5.0,3.15,Zona Sul,True
955944702967770011,f,Barra da Tijuca,-23.00698,-43.33392,Entire home/apt,6,1029.0,5,5.0,0.34,Zona Oeste,False
954503814743413023,t,Barra da Tijuca,-23.0113695,-43.321355,Entire home/apt,4,1450.0,16,5.0,1.01,Zona Oeste,True
954507868621947435,t,Leblon,-22.98416271674265,-43.21779688668979,Entire home/apt,3,1534.0,60,4.95,3.7,Zona Sul,True
954524505680119227,f,Recreio dos Bandeirantes,-23.0197479,-43.4726671,Entire home/apt,4,680.0,0,,0.0,Zona Oeste,False
954592368697112416,f,Barra da Tijuca,-23.012755680720947,-43.32096630786832,Entire home/apt,4,1997.0,28,4.64,1.95,Zona Oeste,False
954781403659961377,f,Barra da Tijuca,-22.99719531002172,-43.41113822723323,Entire home/apt,8,3143.0,0,,0.0,Zona Oeste,False
954895411594312789,f,Ipanema,-22.983839933281864,-43.212445773025095,Entire home/apt,4,5500.0,0,,0.0,Zona Sul,False
954909821821771474,t,Ipanema,-22.981950030266884,-43.20247862373085,Entire home/apt,5,1714.0,12,4.92,1.2,Zona Sul,True
954934123040371255,t,Leme,-22.9625398,-43.1685096,Entire home/apt,7,1941.0,21,4.81,1.4,Zona Sul,True
954937290748043655,f,Copacabana,-22.985986139286847,-43.19234585540504,Entire home/apt,4,3500.0,0,,0.0,Zona Sul,False
954942417158340714,f,Copacabana,-22.96604994311386,-43.178146584634725,Private room,1,270.0,0,,0.0,Zona Sul,False
956156574213032529,f,Flamengo,-22.939966606267166,-43.17719969108213,Entire home/apt,6,800.0,4,5.0,0.29,Zona Sul,False
956371109507452022,t,Copacabana,-22.9792207,-43.1907952,Entire home/apt,2,278.0,51,4.82,3.17,Zona Sul,True
956431919101333385,f,Copacabana,-22.965363955429027,-43.17519876337834,Entire home/apt,4,214.0,2,3.0,0.13,Zona Sul,False
956513459122292755,t,Copacabana,-22.9799503,-43.1901543,Entire home/apt,4,1143.0,13,5.0,0.78,Zona Sul,True
956654146574982983,f,Copacabana,-22.96408,-43.17531,Entire home/apt,6,970.0,0,,0.0,Zona Sul,False
956706780088631857,f,Ipanema,-22.98469308180544,-43.20204645158438,Entire home/apt,4,3230.0,53,4.94,3.34,Zona Sul,False
955022494742150261,t,Santa Teresa,-22.924753424856537,-43.19005852193763,Entire home/apt,4,2574.0,13,5.0,1.03,Zona Sul,True
955086735196535745,t,Flamengo,-22.933082,-43.1759661,Entire home/apt,3,700.0,26,5.0,1.75,Zona Sul,True
955121168633550592,f,Camorim,-22.97448,-43.4156,Private room,2,642.0,3,5.0,0.96,Zona Oeste,False
955121379308336947,f,Camorim,-22.975340405383676,-43.4141927723526,Private room,2,546.0,5,5.0,0.35,Zona Oeste,False
955127099759212827,t,Vila da Penha,-22.84459,-43.30997,Entire home/apt,5,640.0,23,4.96,1.54,Zona Norte,True
955142444654981426,f,Camorim,-22.975488571537277,-43.41437516256561,Entire home/apt,4,834.0,17,4.94,1.11,Zona Oeste,False
